Date,Open,High,Low,Close,Adj Close,Volume
2005-01-28,10.218667,10.24,10.1696,10.208,7.758746,1015000
2005-01-31,10.24,10.2912,10.208,10.289066,7.820366,668500
2005-02-01,10.293333,10.3488,10.269867,10.336,7.856035,544500
2005-02-02,10.282666,10.404266,10.267733999999999,10.3872,7.894953999999999,864800
2005-02-03,10.391467,10.56,10.376534,10.5216,7.997106,1025500
2005-02-04,10.528,10.702933,10.528,10.698667,8.131686,1257000
2005-02-07,10.6816,10.788267,10.653867,10.702933,8.13493,1147500
2005-02-08,10.705067,10.894934,10.660267,10.818133,8.222491,1737300
2005-02-09,10.871466999999999,10.871466999999999,10.762667,10.786133999999999,8.198169,1147800
2005-02-10,10.786133999999999,10.8736,10.7328,10.7776,8.191680999999999,1098000
2005-02-11,10.805333000000001,10.869333000000001,10.698667,10.7904,8.201411,1172500
2005-02-14,10.752,10.816,10.722134,10.781867,8.194924,888000
2005-02-15,10.805333000000001,10.807466999999999,10.747733,10.773334,8.188438,1165500
